year,sex,age,ethnicity,population
2001,female,75-79,other_noncitizen,2.5
2001,female,80-84,overall,50.6
2001,female,80-84,bumi_malay,23.7
2001,female,80-84,bumi_other,3.6
2001,female,80-84,chinese,18
2001,female,80-84,indian,2.7
2001,female,80-84,other_citizen,0.4
2001,female,80-84,other_noncitizen,2.1
2001,female,85+,overall,39.7
2001,female,85+,bumi_malay,17.9
2001,female,85+,bumi_other,2.8
2001,female,85+,chinese,14.8
2001,female,85+,indian,1.7
2001,female,85+,other_citizen,0.3
2001,female,85+,other_noncitizen,2.1
2001,male,overall,overall,12257.3
2001,male,overall,bumi_malay,6065.5
2001,male,overall,bumi_other,1331.7
2001,male,overall,chinese,2997.8
2001,male,overall,indian,864
2001,male,overall,other_citizen,138.9
2001,male,overall,other_noncitizen,859.5
2001,male,0-4,overall,1441.6
2001,male,0-4,bumi_malay,804.5
2001,male,0-4,bumi_other,173.3
2001,male,0-4,chinese,283.3
2001,male,0-4,indian,94
2001,male,0-4,other_citizen,23.3
2001,male,0-4,other_noncitizen,63.1
2001,male,09-May,overall,1386
2001,male,09-May,bumi_malay,776.9
2001,male,09-May,bumi_other,174.8
2001,male,09-May,chinese,270.6
2001,male,09-May,indian,88.4
2001,male,09-May,other_citizen,20.9
2001,male,09-May,other_noncitizen,54.6
2001,male,14-Oct,overall,1324.6
2001,male,14-Oct,bumi_malay,730.2
2001,male,14-Oct,bumi_other,162.4
2001,male,14-Oct,chinese,269.2
2001,male,14-Oct,indian,89.5
2001,male,14-Oct,other_citizen,17.6
2001,male,14-Oct,other_noncitizen,55.7
2001,male,15-19,overall,1238.8
2001,male,15-19,bumi_malay,658.4
2001,male,15-19,bumi_other,147.8
2001,male,15-19,chinese,262.5
2001,male,15-19,indian,86.3
2001,male,15-19,other_citizen,14.6
2001,male,15-19,other_noncitizen,69.3
2001,male,20-24,overall,1092.4
2001,male,20-24,bumi_malay,517.1
2001,male,20-24,bumi_other,119.8
2001,male,20-24,chinese,244.5
2001,male,20-24,indian,77.7
2001,male,20-24,other_citizen,10.3
2001,male,20-24,other_noncitizen,122.9
2001,male,25-29,overall,986.2
2001,male,25-29,bumi_malay,430.1
2001,male,25-29,bumi_other,101.6
2001,male,25-29,chinese,233.7
2001,male,25-29,indian,71.6
2001,male,25-29,other_citizen,7.9
2001,male,25-29,other_noncitizen,141.3
2001,male,30-34,overall,939.6
2001,male,30-34,bumi_malay,415.6
2001,male,30-34,bumi_other,96.4
2001,male,30-34,chinese,234.6
2001,male,30-34,indian,69.3
2001,male,30-34,other_citizen,8
2001,male,30-34,other_noncitizen,115.7
2001,male,35-39,overall,868.3
2001,male,35-39,bumi_malay,386.2
2001,male,35-39,bumi_other,86.7
2001,male,35-39,chinese,229.9
2001,male,35-39,indian,65.9
2001,male,35-39,other_citizen,7.7
2001,male,35-39,other_noncitizen,91.9
2001,male,40-44,overall,765.8
2001,male,40-44,bumi_malay,345.1
2001,male,40-44,bumi_other,71.3
2001,male,40-44,chinese,222.5
2001,male,40-44,indian,61.7
2001,male,40-44,other_citizen,7.7
2001,male,40-44,other_noncitizen,57.6
2001,male,45-49,overall,645.8
2001,male,45-49,bumi_malay,293.3
2001,male,45-49,bumi_other,56.8
2001,male,45-49,chinese,202.2
2001,male,45-49,indian,53
2001,male,45-49,other_citizen,7
2001,male,45-49,other_noncitizen,33.5
2001,male,50-54,overall,486
2001,male,50-54,bumi_malay,218.4
2001,male,50-54,bumi_other,42.2
2001,male,50-54,chinese,163.6
2001,male,50-54,indian,36.8
2001,male,50-54,other_citizen,4.3
2001,male,50-54,other_noncitizen,20.7
2001,male,55-59,overall,356.6
2001,male,55-59,bumi_malay,158.4
2001,male,55-59,bumi_other,31.3
2001,male,55-59,chinese,128.3
2001,male,55-59,indian,24.5
2001,male,55-59,other_citizen,2.8
2001,male,55-59,other_noncitizen,11.2
2001,male,60-64,overall,269.3
2001,male,60-64,bumi_malay,119.6
2001,male,60-64,bumi_other,24
2001,male,60-64,chinese,98
2001,male,60-64,indian,17.6
2001,male,60-64,other_citizen,2.3
2001,male,60-64,other_noncitizen,7.7
